start_mth_ctime,end_mth_ctime,disc,value
20,22,END,0.5
28,30,END,1
31,33,END,1.5
36,38,END,2.5
38,40,END,3
45,47,END,4
49,51,END,5
52,54,END,6
66,68,END,10
72,74,END,12.5
74,76,END,15
76,78,END,18
79,81,END,22
82,84,END,24
85,87,END,28
88,90,END,30
91,93,END,36
94,96,END,40
97,99,END,48
100,102,END,52
103,105,END,59
106,108,END,62
109,111,END,71
112,114,END,75
115,117,END,83
118,120,END,87
85,87,LOSS,5.9
88,90,LOSS,6
91,93,LOSS,6.9
94,96,LOSS,7.3
97,99,LOSS,7.9
100,102,LOSS,8.3
103,105,LOSS,9.8
106,108,LOSS,10.3
109,111,LOSS,10.2
112,114,LOSS,10.3
115,117,LOSS,11.9
118,120,LOSS,12.2
